00:09:55,25:55:37
00:11:07,-12:06:27
00:18:51,-10:22:33
00:42:47,-23:33:31
00:54:04,73:05:05
00:57:41,43:47:37
01:07:46,-17:30:32
01:10:09,-16:51:09
01:20:01,14:21:35
01:44:30,17:06:04
01:51:14,22:34:55
01:54:53,36:54:59
02:10:09,39:11:19
02:09:39,-10:08:46
02:09:43,-10:11:03
02:14:04,05:10:20
02:17:59,14:32:30
02:23:22,32:11:43
02:24:07,47:58:07
02:30:43,-02:56:18
02:37:25,21:06:01
02:42:41,-00:00:45
02:46:17,13:05:45
02:46:38,21:35:06
02:54:02,14:58:17
03:15:01,42:02:08
03:19:47,41:30:37
03:25:05,40:33:32
03:38:49,15:32:56
03:54:16,15:55:44
04:02:31,60:20:33
04:12:22,05:32:49
04:21:20,-18:48:45
04:30:33,38:55:47
04:32:50,29:30:00
04:34:00,-08:34:46
04:35:34,19:10:16
04:48:38,-06:19:12
05:07:44,-08:01:09
05:08:21,17:22:04
05:11:26,24:45:20
05:16:55,51:31:56
05:19:41,05:38:42
05:21:06,-10:14:45
05:25:16,19:10:46
05:42:04,69:22:33
05:40:44,49:41:42
05:45:49,58:42:02
05:47:11,17:33:44
06:14:27,80:27:00
06:09:45,-21:40:22
06:18:40,78:21:25
06:16:23,-21:22:20
06:31:47,-17:37:17
06:57:34,46:24:10
07:09:18,20:38:09
07:28:53,33:49:09
07:35:43,11:42:36
08:38:23,65:07:14
08:38:24,25:45:17
09:36:39,48:28:19
09:46:20,03:03:22
10:04:03,-06:28:35
10:22:21,21:34:10
11:03:54,40:51:00
11:14:41,-23:43:33
11:21:13,-02:59:08
11:25:45,14:40:36
12:14:09,54:31:40
12:25:03,-06:40:44
12:26:55,-00:52:42
13:01:26,29:18:46
13:02:21,-15:46:05
13:02:52,-23:55:18
13:12:25,-15:47:45
13:15:02,24:37:15
13:15:35,62:07:26
13:20:35,34:08:24
13:21:24,00:20:27
13:22:24,-16:43:34
13:25:43,-29:49:54
13:32:53,-24:12:23
13:38:18,48:16:28
13:39:55,00:50:07
13:49:15,35:15:17
13:52:17,02:06:08
13:58:35,37:26:51
14:19:44,49:14:09
14:30:10,31:12:57
14:45:09,-20:52:12
14:57:00,24:37:01
15:13:13,07:13:30
15:30:01,12:59:21
15:34:57,23:30:10
15:46:16,02:24:55
15:49:49,-29:23:11
16:05:12,20:32:33
16:11:41,52:27:27
16:19:10,-07:53:57
16:30:56,04:04:58
16:42:39,-09:43:11
16:47:30,-29:21:17
16:52:59,02:24:03
16:54:24,-09:53:22
16:58:31,58:56:19
17:16:36,-10:20:40
17:54:52,34:46:35
17:56:55,24:01:03
18:00:32,-04:00:55
18:11:37,01:31:40
18:12:55,68:21:47
18:16:40,22:06:44
18:33:36,59:53:20
18:43:12,60:39:13
19:01:42,40:44:46
19:11:01,73:25:10
20:25:06,-24:48:32
20:28:34,25:43:54
20:33:05,-02:01:39
20:37:19,25:31:42
20:57:23,17:07:34
22:14:40,-27:27:49
22:31:27,-19:01:55
22:41:12,34:14:59
23:03:16,08:52:25
23:04:57,19:33:07
23:16:02,25:33:33
23:18:16,06:35:06
23:18:22,-04:24:56
23:27:57,08:46:46
23:28:47,03:30:46
23:42:02,-03:36:48
23:47:01,29:28:11
23:51:25,20:06:39
23:51:26,20:35:08
